#A  P  sigma   slow   shigh   mu  
0.010 1439.601 0.5129 0.5088 0.5171 59.9683
0.032 346.241 0.3252 0.3224 0.3275 59.9770
0.100 75.419 0.2852 0.2827 0.2874 59.9900
0.316 13.731 0.2863 0.2837 0.2882 59.9915
1.000 1.841 0.2913 0.2890 0.2937 59.9954
3.162 0.166 0.3373 0.3339 0.3403 59.9930
10.000 0.011 0.4780 0.4702 0.4872 59.9883
31.623 0.001 0.7649 0.7256 0.8102 59.9733
0.010 1439.601 0.5160 0.5117 0.5198 59.9749
0.032 346.241 0.3283 0.3260 0.3313 59.9772
0.100 75.419 0.2795 0.2770 0.2814 59.9890
0.316 13.731 0.2846 0.2823 0.2869 59.9908
1.000 1.841 0.2974 0.2949 0.2998 59.9945
3.162 0.166 0.3328 0.3300 0.3363 59.9855
10.000 0.011 0.4686 0.4591 0.4759 59.9816
31.623 0.001 0.8320 0.7918 0.8797 59.9999
0.010 1439.601 0.5039 0.5002 0.5083 59.9649
0.032 346.241 0.3237 0.3211 0.3264 59.9783
0.100 75.419 0.2788 0.2769 0.2815 59.9881
0.316 13.731 0.2847 0.2825 0.2870 59.9916
1.000 1.841 0.2941 0.2918 0.2966 59.9934
3.162 0.166 0.3366 0.3331 0.3395 59.9944
10.000 0.011 0.4811 0.4730 0.4903 59.9804
31.623 0.001 0.7493 0.7177 0.7998 60.0193
0.010 1439.601 0.5159 0.5125 0.5208 59.9635
0.032 346.241 0.3256 0.3232 0.3284 59.9830
0.100 75.419 0.2826 0.2802 0.2848 59.9822
0.316 13.731 0.2854 0.2833 0.2879 59.9901
1.000 1.841 0.2903 0.2877 0.2925 59.9964
3.162 0.166 0.3333 0.3301 0.3365 59.9917
10.000 0.011 0.4811 0.4734 0.4906 60.0028
31.623 0.001 0.8183 0.7727 0.8644 59.8910
0.010 1439.601 0.5175 0.5139 0.5223 59.9676
0.032 346.241 0.3278 0.3249 0.3303 59.9788
0.100 75.419 0.2853 0.2828 0.2874 59.9898
0.316 13.731 0.2852 0.2825 0.2872 59.9919
1.000 1.841 0.2953 0.2925 0.2974 59.9860
3.162 0.166 0.3285 0.3252 0.3314 59.9875
10.000 0.011 0.4829 0.4730 0.4905 59.9927
31.623 0.001 0.8125 0.7650 0.8537 59.9935
