#A  P  sigma   slow   shigh   mu  
0.010 1439.601 0.0480 0.0000 0.3309 60.0162
0.032 346.241 0.0619 0.0000 0.2827 59.7868
0.100 75.419 0.6804 0.3259 0.8709 60.0940
0.316 13.731 0.2353 0.0014 0.4562 59.8021
1.000 1.841 0.7068 0.3276 0.8972 59.9290
3.162 0.166 0.0591 0.0000 0.2758 59.9471
10.000 0.011 0.1541 0.0000 0.6218 59.8805
31.623 0.001 0.3238 0.0001 0.9952 58.4612
0.010 1439.601 0.1720 0.0003 0.4387 59.9764
0.032 346.241 0.0395 0.0000 0.2897 59.9392
0.100 75.419 0.4543 0.1392 0.6662 59.9534
0.316 13.731 0.0433 0.0000 0.3041 60.1246
1.000 1.841 0.0619 0.0008 0.4296 60.0176
3.162 0.166 0.0519 0.0000 0.3462 60.1514
10.000 0.011 0.3666 0.0061 0.7345 60.1415
31.623 0.001 0.1727 0.0008 1.0397 59.9763
0.010 1439.601 0.5771 0.1992 0.7593 59.9302
0.032 346.241 0.2460 0.0000 0.4420 60.1233
0.100 75.419 0.5754 0.2146 0.7819 59.8616
0.316 13.731 0.5178 0.1970 0.7508 60.0614
1.000 1.841 0.3190 0.0006 0.4748 59.9970
3.162 0.166 0.0617 0.0007 0.4030 60.3443
10.000 0.011 0.1480 0.0000 0.6938 59.9895
31.623 0.001 1.5829 0.4287 2.4165 59.9925
0.010 1439.601 0.4206 0.1585 0.7146 60.1660
0.032 346.241 0.0474 0.0004 0.3819 60.2195
0.100 75.419 0.0371 0.0000 0.2749 60.0577
0.316 13.731 0.0399 0.0000 0.2791 60.0093
1.000 1.841 0.0605 0.0003 0.3023 60.0238
3.162 0.166 0.0657 0.0002 0.4241 60.0671
10.000 0.011 0.1540 0.0007 0.6649 59.9793
31.623 0.001 0.1656 0.0003 0.9481 60.1452
0.010 1439.601 0.3438 0.0025 0.4790 60.0158
0.032 346.241 0.6827 0.4067 0.9410 59.9217
0.100 75.419 0.6159 0.3171 0.8762 59.8845
0.316 13.731 0.7086 0.3700 0.9117 60.0488
1.000 1.841 0.6926 0.3953 0.9494 60.0449
3.162 0.166 0.4116 0.1068 0.6694 60.1444
10.000 0.011 0.8959 0.4149 1.3023 59.9283
31.623 0.001 1.7132 0.7799 2.5725 58.8896
0.010 1439.601 0.4668 0.0792 0.6106 60.0765
0.032 346.241 0.4223 0.0279 0.5391 59.9916
0.100 75.419 0.0496 0.0001 0.3553 60.0213
0.316 13.731 0.5371 0.1909 0.7455 59.9184
